"id","parentId","department"
"A2CF00505601289111E8FEE71C9E2DD5","A2CF00505601289111E8FED7CBDF1434","Группа технологов"
"B84600155D00230511EA8464F7AE4582","A2CF00505601289111E8FED7CBDF1434","Конструкторская группа"
"B87300155D00230511EDBCDFE71B8810","B84600155D00230511EA8464F7AE4582","Группа проектирования КМ"
"B85E00155D00230511EC2111A5D0AD4C","B84600155D00230511EA8464F7AE4582","Группа проектирования фасадов"
"A2CF00505601289111E8FEE6362772DB","B84600155D00230511EA8464F7AE4582","Конструкторы МСК"
"B85400155D00230511EB6F808C8D3D0C","B84600155D00230511EA8464F7AE4582","Конструкторы НСК"
"A2CF00505601289111E8FEE6412F1E26","B84600155D00230511EA8464F7AE4582","Конструкторы СПб"
"A2CF00505601289111E8FEE7644DDB24","A2CF00505601289111E8FEE86207A36E","БН ""Управление недвижимостью"""
"A2D100505601289111E966A35F0ABBE1","A2CF00505601289111E8FEE7644DDB24","Группа менеджеров по УН"
"A2CF00505601289111E8FEE77C52C544","A2CF00505601289111E8FEE7644DDB24","Группа по эксплуатации"
"A2CF00505601289111E8FEE78ABD8C82","A2CF00505601289111E8FEE7644DDB24","Группа специалистов по эксплуатации"
"A2CF00505601289111E8FEE79511A735","A2CF00505601289111E8FEE86207A36E","БН ""Управление проектами"""
"A2D100505601289111E96737A81D983F","A2CF00505601289111E8FEE79511A735","Группа менеджеров по строительству (УП)"
"A2CF00505601289111E8FEE7AA2EB0DF","A2CF00505601289111E8FEE79511A735","Группа управления проектами"
"B87600155D00230511EE008CEE7FC3D9","A2CF00505601289111E8FEE7AA2EB0DF","Группа ассистентов проекта"
"B87600155D00230511EE008D53A49F68","A2CF00505601289111E8FEE7AA2EB0DF","Группа координаторов проекта"
"A2CF00505601289111E8FEE7B91A3799","A2CF00505601289111E8FEE79511A735","Группа управления стоимостью и бюджетирования проектов"
"B86000155D00230511EC63B9FF8A06CA","A2CF00505601289111E8FEE79511A735","Специализация технического заказчика и объектов культурного наследия"
"B85500155D00230511EB8802B99839A4","A2CF00505601289111E8FEE79511A735","Специализация: ""Изыскания и обследования"""
"A2CF00505601289111E8FEE7C4179A88","A2CF00505601289111E8FEE86207A36E","БН ""Управление строительством"""
"A2CF00505601289111E8FEE7D10E713C","A2CF00505601289111E8FEE7C4179A88","Группа инженеров геодезического контроля"
"A2CF00505601289111E8FEE7EDF24EF6","A2CF00505601289111E8FEE7C4179A88","Группа менеджеров по технике безопасности"
"B87000155D00230511ED8FDF97B5F012","A2CF00505601289111E8FEE7C4179A88","Группа охраны труда"
"A2CF00505601289111E8FEE7F474E115","A2CF00505601289111E8FEE7C4179A88","Группа строительного контроля"
"A2CF00505601289111E944077EA48FFD","A2CF00505601289111E8FEE86207A36E","Инфраструктура и развитие городов"
"A2CF00505601289111E8FEE662DA14AB","A2CF00505601289111E8FEE86207A36E","Коммерческая и жилая недвижимость"
"B86000155D00230511EC5E75CE98D277","A2CF00505601289111E8FEE662DA14AB","Проектирование"
"B86000155D00230511EC5E766C8BC7B0","A2CF00505601289111E8FEE662DA14AB","Строительство"
"A2CF00505601289111E8FEE64ADC52EB","A2CF00505601289111E8FEE86207A36E","Международное проектирование"
"A2CF00505601289111E8FEE7FF2F8155","A2CF00505601289111E8FEE86207A36E","ОРКК"
"A2CF00505601289111E8FEE829D9A352","A2CF00505601289111E8FEE86207A36E","Поддержка бизнеса"
"A2CF00505601289111E8FEE8322D223F","A2CF00505601289111E8FEE829D9A352","Бухгалтерия"
"B84F00155D00230511EB3B9AC2ACB7EF","A2CF00505601289111E8FEE829D9A352","Группа закупок"
"A2CF00505601289111E8FEE83E3A8925","A2CF00505601289111E8FEE829D9A352","Группа обеспечения офиса"
"A2CF00505601289111E8FEE844601F17","A2CF00505601289111E8FEE829D9A352","Группа помощников руководителя"
"A2CF00505601289111E8FEE8322D2240","A2CF00505601289111E8FEE829D9A352","Департамент информационных технологий"
"B86000155D00230511EC53FB4F1B2C9C","A2CF00505601289111E8FEE8322D2240","Группа разработки"
"B86000155D00230511EC53FAEA9AB0EB","A2CF00505601289111E8FEE8322D2240","Отдел цифровой инфраструктуры"
"B86000155D00230511EC53FBC6C949CC","B86000155D00230511EC53FAEA9AB0EB","Группа администрирования"
"B86000155D00230511EC53FBA62951E2","B86000155D00230511EC53FAEA9AB0EB","Группа поддержки пользователей"
"B86000155D00230511EC62755371262C","B86000155D00230511EC53FBA62951E2","Поддержка МСК"
"B86000155D00230511EC6275964DBEBB","B86000155D00230511EC53FBA62951E2","Поддержка НСК"
"B86000155D00230511EC62756A8E4BDD","B86000155D00230511EC53FBA62951E2","Поддержка СПб"
"A2CF00505601289111E8FEE84B9CCF40","A2CF00505601289111E8FEE829D9A352","Отдел управления персоналом"
"A2CF00505601289111E8FEE84B9CCF41","A2CF00505601289111E8FEE829D9A352","Финансовый отдел"
"A2CF00505601289111E8FEE85C05D053","A2CF00505601289111E8FEE829D9A352","Юридический отдел"
"B86000155D00230511EC4D13FDA69704","A2CF00505601289111E8FEE86207A36E","Промышленная недвижимость"
